CMDLINE /usr/bin/python task_2.1.py
FUNC __main__.evolve 74.9766 1706531320.0541 74.9766 1706531320.1855 1
FUNC __main__.evolve 74.9766 1706531320.1881 74.9766 1706531320.3195 1
FUNC __main__.evolve 74.9766 1706531320.3223 74.9766 1706531320.4563 1
FUNC __main__.evolve 74.9766 1706531320.4589 74.9766 1706531320.5929 1
FUNC __main__.evolve 74.9766 1706531320.5957 74.9766 1706531320.7296 1
FUNC __main__.evolve 74.9766 1706531320.7323 74.9766 1706531320.8668 1
FUNC __main__.evolve 74.9766 1706531320.8695 74.9766 1706531321.0037 1
FUNC __main__.evolve 74.9766 1706531321.0065 74.9766 1706531321.1412 1
FUNC __main__.evolve 74.9766 1706531321.1439 74.9766 1706531321.2793 1
FUNC __main__.evolve 74.9766 1706531321.2820 74.9766 1706531321.4178 1
FUNC __main__.evolve 74.9766 1706531321.4207 74.9766 1706531321.5556 1
FUNC __main__.evolve 74.9766 1706531321.5584 74.9766 1706531321.6954 1
FUNC __main__.evolve 74.9766 1706531321.6982 74.9766 1706531321.8347 1
FUNC __main__.evolve 74.9766 1706531321.8374 74.9766 1706531321.9733 1
FUNC __main__.evolve 74.9766 1706531321.9761 74.9766 1706531322.1122 1
FUNC __main__.evolve 74.9766 1706531322.1149 74.9766 1706531322.2518 1
FUNC __main__.evolve 74.9766 1706531322.2545 74.9766 1706531322.3910 1
FUNC __main__.evolve 74.9766 1706531322.3942 74.9766 1706531322.5310 1
FUNC __main__.evolve 74.9766 1706531322.5338 74.9766 1706531322.6683 1
FUNC __main__.evolve 74.9766 1706531322.6711 74.9766 1706531322.8066 1
FUNC __main__.evolve 74.9766 1706531322.8094 74.9766 1706531322.9459 1
FUNC __main__.evolve 74.9766 1706531322.9492 74.9766 1706531323.0846 1
FUNC __main__.evolve 74.9766 1706531323.0874 74.9766 1706531323.2224 1
FUNC __main__.evolve 74.9766 1706531323.2252 74.9766 1706531323.3608 1
FUNC __main__.evolve 74.9766 1706531323.3636 74.9766 1706531323.4989 1
FUNC __main__.evolve 74.9766 1706531323.5017 74.9766 1706531323.6366 1
FUNC __main__.evolve 74.9766 1706531323.6395 74.9766 1706531323.7743 1
FUNC __main__.evolve 74.9766 1706531323.7772 74.9766 1706531323.9131 1
FUNC __main__.evolve 74.9766 1706531323.9159 74.9766 1706531324.0526 1
FUNC __main__.evolve 74.9766 1706531324.0554 74.9766 1706531324.1928 1
FUNC __main__.evolve 74.9766 1706531324.1956 74.9766 1706531324.3338 1
FUNC __main__.evolve 74.9766 1706531324.3366 74.9766 1706531324.4743 1
FUNC __main__.evolve 74.9766 1706531324.4771 74.9766 1706531324.6159 1
FUNC __main__.evolve 74.9766 1706531324.6188 74.9766 1706531324.7570 1
FUNC __main__.evolve 74.9766 1706531324.7599 74.9766 1706531324.9114 1
FUNC __main__.evolve 74.9766 1706531324.9143 74.9766 1706531325.0518 1
FUNC __main__.evolve 74.9766 1706531325.0546 74.9766 1706531325.1923 1
FUNC __main__.evolve 74.9766 1706531325.1952 74.9766 1706531325.3321 1
FUNC __main__.evolve 74.9766 1706531325.3349 74.9766 1706531325.4711 1
FUNC __main__.evolve 74.9766 1706531325.4740 74.9766 1706531325.6095 1
FUNC __main__.evolve 74.9766 1706531325.6125 74.9766 1706531325.7481 1
FUNC __main__.evolve 74.9766 1706531325.7509 74.9766 1706531325.8892 1
FUNC __main__.evolve 74.9766 1706531325.8921 74.9766 1706531326.0279 1
FUNC __main__.evolve 74.9766 1706531326.0308 74.9766 1706531326.1667 1
FUNC __main__.evolve 74.9766 1706531326.1696 74.9766 1706531326.3076 1
FUNC __main__.evolve 74.9766 1706531326.3105 74.9766 1706531326.4476 1
FUNC __main__.evolve 74.9766 1706531326.4505 74.9766 1706531326.5882 1
FUNC __main__.evolve 74.9766 1706531326.5910 74.9766 1706531326.7278 1
FUNC __main__.evolve 74.9766 1706531326.7307 74.9766 1706531326.8669 1
FUNC __main__.evolve 74.9766 1706531326.8698 74.9766 1706531327.0075 1
FUNC __main__.evolve 74.9766 1706531327.0105 74.9766 1706531327.1479 1
FUNC __main__.evolve 74.9766 1706531327.1507 74.9766 1706531327.2877 1
FUNC __main__.evolve 74.9766 1706531327.2907 74.9766 1706531327.4287 1
FUNC __main__.evolve 74.9766 1706531327.4318 74.9766 1706531327.5686 1
FUNC __main__.evolve 74.9766 1706531327.5716 74.9766 1706531327.7105 1
FUNC __main__.evolve 74.9766 1706531327.7134 74.9766 1706531327.8518 1
FUNC __main__.evolve 74.9766 1706531327.8548 74.9766 1706531327.9933 1
FUNC __main__.evolve 74.9766 1706531327.9963 74.9766 1706531328.1350 1
FUNC __main__.evolve 74.9766 1706531328.1380 74.9766 1706531328.2796 1
FUNC __main__.evolve 74.9766 1706531328.2826 74.9766 1706531328.4238 1
FUNC __main__.evolve 74.9766 1706531328.4268 74.9766 1706531328.5674 1
FUNC __main__.evolve 74.9766 1706531328.5703 74.9766 1706531328.7156 1
FUNC __main__.evolve 74.9766 1706531328.7183 74.9766 1706531328.8562 1
FUNC __main__.evolve 74.9766 1706531328.8592 74.9766 1706531328.9971 1
FUNC __main__.evolve 74.9766 1706531329.0001 74.9766 1706531329.1392 1
FUNC __main__.evolve 74.9766 1706531329.1422 74.9766 1706531329.2812 1
FUNC __main__.evolve 74.9766 1706531329.2844 74.9766 1706531329.4243 1
FUNC __main__.evolve 74.9766 1706531329.4273 74.9766 1706531329.5672 1
FUNC __main__.evolve 74.9766 1706531329.5703 74.9766 1706531329.7082 1
FUNC __main__.evolve 74.9766 1706531329.7111 74.9766 1706531329.8491 1
FUNC __main__.evolve 74.9766 1706531329.8522 74.9766 1706531329.9942 1
FUNC __main__.evolve 74.9766 1706531329.9975 74.9766 1706531330.1373 1
FUNC __main__.evolve 74.9766 1706531330.1405 74.9766 1706531330.2804 1
FUNC __main__.evolve 74.9766 1706531330.2840 74.9766 1706531330.4223 1
FUNC __main__.evolve 74.9766 1706531330.4254 74.9766 1706531330.5634 1
FUNC __main__.evolve 74.9766 1706531330.5664 74.9766 1706531330.7048 1
FUNC __main__.evolve 74.9766 1706531330.7079 74.9766 1706531330.8481 1
FUNC __main__.evolve 74.9766 1706531330.8511 74.9766 1706531330.9907 1
FUNC __main__.evolve 74.9766 1706531330.9943 74.9766 1706531331.1335 1
FUNC __main__.evolve 74.9766 1706531331.1366 74.9766 1706531331.2774 1
FUNC __main__.evolve 74.9766 1706531331.2806 74.9766 1706531331.4218 1
FUNC __main__.evolve 74.9766 1706531331.4248 74.9766 1706531331.5660 1
FUNC __main__.evolve 74.9766 1706531331.5691 74.9766 1706531331.7098 1
FUNC __main__.evolve 74.9766 1706531331.7128 74.9766 1706531331.8525 1
FUNC __main__.evolve 74.9766 1706531331.8556 74.9766 1706531331.9968 1
FUNC __main__.evolve 74.9766 1706531331.9998 74.9766 1706531332.1387 1
FUNC __main__.evolve 74.9766 1706531332.1418 74.9766 1706531332.2805 1
